@relation pc1_bin-weka.filters.supervised.instance.Resample-B0.0-S1-Z33.0-no-replacement-V

@attribute loc numeric
@attribute v.g. numeric
@attribute ev.g. numeric
@attribute iv.G. numeric
@attribute N numeric
@attribute V numeric
@attribute L numeric
@attribute D numeric
@attribute I numeric
@attribute E numeric
@attribute B numeric
@attribute T numeric
@attribute lOCode numeric
@attribute lOComment numeric
@attribute locCodeAndComment numeric
@attribute lOBlank numeric
@attribute uniq_Op numeric
@attribute uniq_Opnd numeric
@attribute total_Op numeric
@attribute total_Opnd numeric
@attribute branchCount numeric
@attribute defects {FALSE,TRUE}

@data
4,5,1,1,4,3,0,3,3,1,3,1,2,1,1,1,2,2,4,5,5,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
2,2,1,2,2,2,0,2,2,1,2,1,2,3,1,2,4,2,2,2,2,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,2,1,0,2,1,1,1,1,1,1,1,1,4,1,2,2,2,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,2,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,2,3,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
2,1,1,1,1,1,0,1,1,1,1,1,1,2,1,1,3,1,1,1,2,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,2,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,3,1,1,1,1,FALSE
1,2,1,1,1,1,0,2,1,1,1,1,1,1,1,1,3,1,1,1,2,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,FALSE
