E,T,lOCode,lOComment,locCodeAndComment,defects
398853.5,22158.53,199,0,0,FALSE
14050.56,780.59,18,0,0,FALSE
4824.58,268.03,8,1,0,FALSE
1274.38,70.8,11,0,0,FALSE
106264.81,5903.6,107,35,1,FALSE
6259.35,347.74,14,0,0,FALSE
0,0,0,0,0,FALSE
8909.79,494.99,19,0,1,FALSE
0,0,0,0,0,FALSE
92035.5,5113.08,49,1,7,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
899.21,49.96,9,0,0,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
1168.18,64.9,6,1,0,FALSE
3229.13,179.4,17,0,0,FALSE
908.41,50.47,10,15,0,FALSE
534.7,29.71,7,9,0,FALSE
504,28,9,2,0,FALSE
2548.14,141.56,14,19,0,FALSE
2470.53,137.25,11,2,0,FALSE
3740.65,207.81,17,5,2,FALSE
7911,439.5,26,10,2,FALSE
0,0,0,0,0,FALSE
2280.82,126.71,14,8,0,FALSE
87.17,4.84,4,2,0,FALSE
87.17,4.84,4,3,0,FALSE
1064,59.11,10,6,1,FALSE
0,0,0,0,0,FALSE
507.65,28.2,6,0,0,FALSE
0,0,0,0,0,FALSE
81,4.5,6,0,0,FALSE
2138.11,118.78,14,0,0,FALSE
6860.09,381.12,17,0,0,FALSE
14063.19,781.29,35,9,1,FALSE
21841.82,1213.43,43,11,6,FALSE
0,0,0,0,0,FALSE
22625.5,1256.97,36,2,4,FALSE
56.15,3.12,7,0,0,FALSE
35879.48,1993.3,67,17,9,FALSE
6067,337.06,18,3,1,FALSE
27225.87,1512.55,25,4,9,FALSE
39595.17,2199.73,38,0,0,FALSE
2300.62,127.81,12,0,0,FALSE
1409.68,78.32,15,15,0,FALSE
1539.78,85.54,10,0,0,FALSE
804.75,44.71,9,15,0,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
29696.99,1649.83,57,19,0,FALSE
7423.67,412.43,28,6,8,FALSE
0,0,0,0,0,FALSE
562.59,31.26,9,0,0,FALSE
23526.15,1307.01,31,0,0,FALSE
702.84,39.05,14,4,0,FALSE
188.21,10.46,4,0,0,FALSE
12491.15,693.95,36,0,0,FALSE
17.41,0.97,3,0,0,FALSE
786.03,43.67,10,0,0,FALSE
290.59,16.14,5,1,1,FALSE
1529.25,84.96,6,0,0,FALSE
25722.21,1429.01,28,4,2,FALSE
0,0,0,0,0,FALSE
32737.87,1818.77,51,10,0,FALSE
8682.88,482.38,22,2,0,FALSE
0,0,0,0,0,FALSE
2574,143,7,0,0,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
480.69,26.7,7,9,0,FALSE
32937,1829.83,41,0,5,FALSE
85.59,4.75,4,0,0,FALSE
480.69,26.7,7,9,0,FALSE
145.3,8.07,3,0,0,FALSE
1186.82,65.93,10,19,0,FALSE
13176.06,732,34,5,1,FALSE
4423.57,245.75,22,5,1,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
37.9,2.11,4,0,0,FALSE
12903.06,716.84,19,0,0,FALSE
2086.35,115.91,17,9,5,FALSE
12,0.67,4,0,0,FALSE
35782.13,1987.9,45,1,0,FALSE
5332.64,296.26,16,0,0,FALSE
99019.72,5501.1,58,0,0,FALSE
15993.34,888.52,21,4,1,FALSE
90416.52,5023.14,116,48,1,FALSE
19400.82,1077.82,44,15,0,FALSE
0,0,0,0,0,FALSE
42020.85,2334.49,34,0,2,FALSE
480.69,26.7,7,9,0,FALSE
558.13,31.01,8,9,0,FALSE
8332.05,462.89,14,1,0,FALSE
480.69,26.7,7,9,0,FALSE
365.51,20.31,4,0,0,FALSE
804.75,44.71,9,16,0,FALSE
0,0,0,0,0,FALSE
0,0,0,0,0,FALSE
762.02,42.33,3,0,0,FALSE
12,0.67,3,0,0,FALSE
6539.54,363.31,23,2,0,FALSE
4084.22,226.9,14,0,0,FALSE
17.41,0.97,3,0,0,FALSE
23.22,1.29,0,0,0,FALSE
772.53,42.92,9,0,0,FALSE
683.19,37.96,10,0,0,FALSE
31957.74,1775.43,51,26,2,FALSE
582205.62,32344.76,218,159,35,FALSE
1243.98,69.11,11,14,0,FALSE
22456.97,1247.61,30,0,0,FALSE
2914.07,161.89,17,18,0,FALSE
1243.98,69.11,11,14,0,FALSE
931.41,51.74,10,9,0,FALSE
1724.98,95.83,15,12,0,FALSE
8403.09,466.84,17,0,0,FALSE
13972.73,776.26,26,0,2,FALSE
1489.65,82.76,9,3,1,FALSE
8637.06,479.84,11,0,0,FALSE
43359.38,2408.85,59,6,3,FALSE
23.22,1.29,3,0,0,FALSE
23.22,1.29,0,0,0,FALSE
2395.81,133.1,13,1,0,FALSE
3119.68,173.32,15,0,0,FALSE
186.03,10.33,5,0,0,FALSE
98.9,5.49,4,2,0,FALSE
150993.43,8388.52,83,19,8,FALSE
10120.67,562.26,14,0,0,FALSE
772.6,42.92,10,15,1,FALSE
2239.16,124.4,16,15,0,FALSE
4917.61,273.2,26,18,0,FALSE
10759.67,597.76,16,0,0,FALSE
23011.32,1278.41,21,0,0,FALSE
12054.49,669.69,20,5,0,FALSE
9130.93,507.27,22,1,1,FALSE
9420.58,523.37,29,0,1,FALSE
1243.74,69.1,13,0,0,FALSE
562.94,31.27,7,1,0,FALSE
764.63,42.48,8,0,0,FALSE
21613.73,1200.76,43,0,0,FALSE
124.54,6.92,5,0,0,FALSE
10742.56,596.81,20,1,1,FALSE
5851.26,325.07,16,0,0,FALSE
4614.93,256.39,15,0,0,FALSE
25462.18,1414.57,45,7,1,FALSE
613.03,34.06,6,0,0,FALSE
10796.83,599.82,36,0,9,FALSE
10572.26,587.35,16,16,3,FALSE
665.58,36.98,8,12,0,FALSE
161.94,9,4,1,1,FALSE
1318.14,73.23,11,18,0,FALSE
665.58,36.98,8,12,0,FALSE
161.94,9,4,1,1,FALSE
5140.01,285.56,12,0,0,FALSE
13896.4,772.02,19,13,0,FALSE
6817.14,378.73,27,1,0,FALSE
151.35,8.41,6,0,0,FALSE
1120.04,62.22,7,3,0,FALSE
3178.67,176.59,17,0,0,FALSE
967.16,53.73,8,0,0,FALSE
10742.56,596.81,20,1,1,FALSE
133.19,7.4,4,0,0,FALSE
9743.56,541.31,25,0,2,FALSE
